vtex.admin,4.51.1
vtex.admin-account-details,1.0.1
vtex.admin-apps,4.3.0
vtex.admin-audit,2.9.0
vtex.admin-binding,0.28.0
vtex.admin-cms,1.17.7
vtex.admin-collections,0.164.0
vtex.admin-coupons,0.3.5
vtex.admin-docs,0.5.2
vtex.admin-home,3.9.1
vtex.admin-insights,4.6.1
vtex.admin-inventory,0.50.0
vtex.admin-login,1.25.1
vtex.admin-logistics,1.43.0
vtex.admin-offer-quality,0.4.3
vtex.admin-orders,0.146.1
vtex.admin-pages,4.51.2
vtex.admin-pickup-points,2.14.1
vtex.admin-pricing-settings,1.7.0
vtex.admin-promotions,1.6.4
vtex.admin-sales-performance,1.4.3
vtex.admin-sellers,1.5.5
vtex.admin-sku-binding,0.6.0
vtex.admin-sponsor,1.1.0
vtex.admin-suggestions,2.37.1
vtex.admin-users,1.17.1
vtex.admin-vendor-invite,0.13.0
vtex.admin-wallet-hub,0.3.0
vtex.app-install-monitor,0.1.1
vtex.asset-server,0.15.5
vtex.audit-io,0.1.4
vtex.auth-admin,3.63.0
vtex.auth-server,0.18.0
vtex.billing,0.24.1
vtex.broadcaster,0.9.0
vtex.builder-hub,0.293.4
vtex.cartman,0.3.1
vtex.checkout,2.9.2-hkignore.europe
vtex.client-admin-settings,0.9.1
vtex.colossus-legacy-proxy,2.3.5
vtex.developer-docs-integration,0.5.6
vtex.dotnet-messenger-sender,0.1.7
vtex.evolution-manager-graphql,0.15.3
vtex.file-manager,0.11.0
vtex.frontend-metrics-gateway,0.7.0
vtex.google-pay,1.2.1
vtex.invoice-notifier,0.8.2
vtex.marketplace-network,0.25.6
vtex.messages-templates,0.10.1
vtex.messenger-core,0.1.9
vtex.mkp-category-mapper-ui,1.21.0
vtex.my-account,1.27.0
vtex.my-authentication,1.7.0
vtex.myuser-io,2.19.2
vtex.notification-generator,0.6.2
vtex.omnishipping,1.15.4-hkignore.hotpointqa-0
vtex.order-auth,1.8.1
vtex.orders-broadcast,0.3.2
vtex.pix-payment,0.12.2
vtex.promotions-simulator,0.3.0
vtex.request-capture,2.3.0
vtex.reverse-registry,0.6.14
vtex.rewriter,1.57.3
vtex.sales-performance-graphql,0.8.1
vtex.seller-provisioner,0.2.1
vtex.seller-welcome,0.3.2
vtex.shipping-preview,0.14.1
vtex.sms-messenger-sender,0.1.0
vtex.smtp-messenger-sender,0.1.0
vtex.sno,0.0.3
vtex.sse-server,0.3.3
vtex.store,2.131.1
vtex.store-sitemap,2.15.0
vtex.support-center,1.3.0
